10001,22,1,1,0,1,3
10001,22,1,1,2,1,3
10001,22,1,1,5,1,3
10002,30,3,3,0,0,3
10002,30,3,3,2,0,3
10002,30,3,3,5,0,3
10002,30,3,3,7,0,3
10003,22,2,3,0,1,3
10003,22,2,3,2,1,3
10003,22,2,3,5,0,3
10003,22,2,3,7,0,3
10004,29,3,2,0,1,1
10004,29,3,2,2,1,1
10004,29,3,2,5,1,1
10004,29,3,2,7,1,1
10005,28,3,2,0,0,1
10005,28,3,2,2,0,1
10005,28,3,2,5,0,1
10005,28,3,2,7,0,1
10006,20,1,2,0,1,1
10006,20,1,2,2,1,1
10006,20,1,2,5,1,1
10006,20,1,2,7,1,1
10008,20,1,1,0,0,1
10008,20,1,1,2,0,1
10008,20,1,1,5,0,1
10008,20,1,1,7,0,1
10009,26,3,1,0,1,2
10010,28,3,1,0,0,2
10010,28,3,1,2,0,2
10010,28,3,1,5,0,2
10010,28,3,1,7,0,2
10011,19,1,1,0,0,1
10012,23,2,3,0,0,3
10012,23,2,3,2,0,3
10013,19,1,2,0,0,2
10013,19,1,2,2,1,2
10013,19,1,2,5,1,2
10013,19,1,2,7,0,2
10015,30,3,2,0,0,4
10015,30,3,2,2,0,4
10015,30,3,2,5,0,4
10015,30,3,2,7,0,4
10016,23,2,1,0,0,2
10016,23,2,1,2,0,2
10017,30,3,2,0,1,1
10017,30,3,2,2,0,1
10017,30,3,2,7,1,1
10018,27,3,3,0,0,4
10018,27,3,3,2,0,4
10018,27,3,3,5,0,4
10019,23,2,3,0,1,1
10019,23,2,3,2,1,1
10019,23,2,3,5,1,1
10020,29,3,2,0,1,1
10020,29,3,2,2,1,1
10020,29,3,2,5,1,1
10020,29,3,2,7,1,1
10022,20,1,2,0,0,1
10022,20,1,2,2,0,1
10022,20,1,2,5,0,1
10023,22,2,3,0,0,3
10023,22,2,3,2,0,3
10023,22,2,3,7,0,3
10024,30,3,1,0,0,2
10024,30,3,1,2,0,2
10024,30,3,1,5,0,2
10024,30,3,1,7,0,2
10025,25,2,2,0,0,4
10025,25,2,2,2,0,4
10025,25,2,2,5,0,4
10025,25,2,2,7,0,4
10026,22,2,1,0,1,1
10027,18,1,2,0,0,2
10027,18,1,2,2,0,2
10027,18,1,2,7,0,2
10029,27,3,3,0,0,4
10029,27,3,3,2,0,4
10029,27,3,3,5,0,4
10029,27,3,3,7,0,4
10030,18,1,3,0,0,2
10030,18,1,3,2,0,2
10030,18,1,3,5,0,2
10030,18,1,3,7,0,2
10031,28,3,3,0,1,2
10031,28,3,3,2,0,2
10031,28,3,3,5,0,2
10031,28,3,3,7,0,2
10032,27,3,3,0,0,3
10032,27,3,3,2,0,3
10032,27,3,3,5,0,3
10032,27,3,3,7,0,3
10033,28,3,2,0,0,2
10033,28,3,2,2,0,2
10033,28,3,2,5,0,2
10033,28,3,2,7,0,2
10034,22,1,1,0,0,2
10034,22,1,1,7,0,2
10036,23,2,2,0,1,3
10036,23,2,2,2,0,3
10036,23,2,2,5,0,3
10036,23,2,2,7,0,3
10037,27,3,3,0,0,4
10037,27,3,3,2,0,4
10038,19,1,3,0,1,4
10038,19,1,3,2,0,4
10038,19,1,3,5,0,4
